YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,4.85,5.58
2008-09,4.78,6.56
2009-10,4.31,5.26
2010-11,4.03,5.07
2011-12,4.29,5.41
2012-13,5.16,6.32
2013-14,5.37,6.21
2014-15,5.41,5.84
2015-16,5.04,4.88
2016-17,5.07,4.92
