YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,3.76,4.78
2008-09,4.17,5.34
2009-10,4.35,4.19
2010-11,4.06,4.2
2011-12,4.12,4.76
2012-13,5.79,6.52
2013-14,5.91,7.5
2014-15,5.87,6.92
2015-16,5.24,5.25
2016-17,5.11,5.16
