YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,8.19,9.71
2008-09,13.96,17.89
2009-10,12.08,13.37
2010-11,9.8,10.52
2011-12,8.49,11.66
2012-13,9.82,14.44
2013-14,9.71,16.74
2014-15,11.52,15.33
2015-16,12.01,14.1
2016-17,11.6,15.69
