YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,3.9,4.44
2008-09,4.21,5.03
2009-10,3.68,3.97
2010-11,3.6,3.83
2011-12,3.87,4.39
2012-13,5.19,5.52
2013-14,5.35,5.99
2014-15,5.32,5.6
2015-16,4.93,4.64
2016-17,4.68,4.53
