YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.26,0.18
2008-09,0.33,0.21
2009-10,0.33,0.25
2010-11,0.27,0.21
2011-12,0.26,0.18
2012-13,0.26,0.19
2013-14,0.28,0.2
2014-15,0.3,0.23
2015-16,0.21,0.18
2016-17,0.21,0.17
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
