YEAR,TOTAL FLEET SIZE,DESCRIPTION,Number of Aircraft
2007-08,6,A320 leased,6
2008-09,NA,NA,NA
2009-10,8,A320 leased,8
2010-11,10,A320 leased,10
2011-12,12,A320 leased,12
2012-13,14,A320 leased,14
2013-14,18,A320 leased,18
2014-15,19,A320 leased,19
2015-16,19,A320 leased,19
2016-17,23,AIRBUS A320,23
