YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.36,0.21
2008-09,0.42,0.24
2009-10,0.44,0.28
2010-11,0.39,0.26
2011-12,0.34,0.22
2012-13,0.97,0.74
2013-14,2.99,2.29
2014-15,3.08,2.21
2015-16,3.74,2.56
2016-17,3.8,2.54
