YEAR,TOTAL FLEET SIZE,DESCRIPTION,Number of Aircraft
2007-08,17,A320-200,17
2008-09,19,A320-200,19
2009-10,25,A320-200,25
2010-11,38,A320-200,38
2011-12,55,A320-200,55
2012-13,66,A320-200,66
2013-14,77,A320-200,77
2014-15,94,A320-200,94
2015-16,107,A320-200,107
2016-17,131,A320-200,131
