YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,2.98,3.59
2008-09,3.55,4.45
2009-10,3.25,3.16
2010-11,3.39,3.33
2011-12,3.86,4.47
2012-13,4.65,4.89
2013-14,4.72,5.46
2014-15,4.4,5.15
2015-16,4.40*,4.08
2016-17,4.11,3.88
