YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2012-13,NA,NA
2013-14,NA,NA
2014-15,157.07,113.07
2015-16,168.91,115.34
2016-17,179.14,119.12
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
