YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,2.93,3.48
2008-09,3.72,3.68
2009-10,3.5,2.9
2010-11,3.6,3.03
2011-12,3.74,3.8
2012-13,4.54,4.15
2013-14,4.81,4.69
2014-15,4.94,4.39
2015-16,4.49,3.79
2016-17,4.01,3.65
