YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,5.21,5.55
2008-09,5.92,5.87
2009-10,4.58,4.49
2010-11,4.71,4.46
2011-12,4.82,5.04
2012-13,5.79,5.75
2013-14,5.79,6.76
2014-15,5.68,6.25
2015-16,5.39,5.08
2016-17,5.18,5.16
