YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,2.75,2.46
2008-09,2.54,2.83
2009-10,2.36,2.62
2010-11,NA,NA
2011-12,2.48,3.06
2012-13,2.98,3.23
2013-14,3.24,3.12
2014-15,3.46,2.95
2015-16,4.06,3.1
2016-17,3.79,3.15
