YEAR,OPERATING REVENUE PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.),OPERATING EXPENSES PER REVENUE PASSSENGER KILOMETRE PERFORMED (IN RS.)
2007-08,5.11,5.98
2008-09,5.19,7.28
2009-10,4.62,5.72
2010-11,4.72,5.95
2011-12,4.56,5.76
2012-13,5.51,6.79
2013-14,5.74,6.72
2014-15,5.74,6.32
2015-16,5.19,5.16
2016-17,5.28,5.21
