YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.42,0.24
2008-09,0.4,0.24
2009-10,0.47,0.28
2010-11,0.54,0.32
2011-12,0.25,0.15
2012-13,0.23,0.14
2013-14,0.29,0.19
2014-15,0.31,0.2
2015-16,0.54,0.35
2016-17,0.62,0.41
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
