YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.25,0.14
2008-09,0.36,0.18
2009-10,0.37,0.23
2010-11,0.26,0.17
2011-12,0.42,0.27
2012-13,0.4,0.26
2013-14,0.36,0.24
2014-15,0.38,0.27
2015-16,0.38,0.27
2016-17,0.4,0.28
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
