YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.31,0.2
2008-09,0.44,0.25
2009-10,0.43,0.28
2010-11,0.32,0.23
2011-12,0.45,0.31
2012-13,1.69,1.32
2013-14,5.16,3.99
2014-15,4.96,3.57
2015-16,4.9,3.36
2016-17,4.75,3.18
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
