YEAR,DESCRIPTION,Number of Aircraft
2012-13,Boeing 737-200,2
2012-13,Boeing 757-200,5
2012-13,Total,7
2013-14,Boeing 737-200,1
2013-14,Boeing 757-200,5
2013-14,Total,6
2014-15,Boeing 757-200,5
2015-16,Boeing 757-200,5
2016-17,BOEING 757- 200,6
