YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.77,0.52
2008-09,0.86,0.59
2009-10,1.04,0.65
2010-11,NA,NA
2011-12,0.79,0.53
2012-13,0.71,0.5
2013-14,1.33,0.98
2014-15,0.53,0.44
2015-16,0.83,0.68
2016-17,1.01,0.78
