YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.15,0.11
2008-09,NA,NA
2009-10,0.22,0.18
2010-11,0.21,0.16
2011-12,0.25,0.19
2012-13,0.32,0.21
2013-14,0.36,0.25
2014-15,0.39,0.28
2015-16,0.36,0.28
2016-17,0.36,0.28
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
