YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.42,0.23
2008-09,0.39,0.22
2009-10,0.45,0.26
2010-11,0.5,0.29
2011-12,0.24,0.14
2012-13,0.22,0.13
2013-14,0.27,0.17
2014-15,0.31,0.2
2015-16,0.53,0.34
2016-17,0.61,0.4
