YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.08,0.06
2008-09,0.07,0.04
2009-10,0.09,0.06
2010-11,0.08,0.06
2011-12,0.06,0.04
2012-13,0.04,0.03
2013-14,0.04,0.02
2014-15,0.04,0.03
2015-16,0.07,0.04
2016-17,0.08,0.06
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
