YEAR,AVAILABLE TONNE-KILOMETRES PER EMPLOYEE (MILLION),TONNE-KILOMETRES PERFORMED PER EMPLOYEE (MILLION)
2007-08,0.26,0.19
2008-09,0.34,0.23
2009-10,0.35,0.27
2010-11,0.35,0.29
2011-12,0.37,0.28
2012-13,0.37,0.28
2013-14,0.37,0.27
2014-15,0.34,0.26
2015-16,0.37,0.28
2016-17,0.41,0.3
,,
,,
,,
,,
, ,
, , 
, ,
, ,
, ,
