STATES / UTs ,Professional - Authorised to drive public Service Vehicles - Male,Professional - Authorised to drive public Service Vehicles - Female,Professional - Authorised to drive public Service Vehicles - Total,Professional - Others - Male,Professional - Others - Female,Professional - Others - Total,Non professional - Male,Non professional - Female,Non professional - Total,Total - Male,Total - Male,Total - Total,%age Share of total  Male Driver Licences,%age Share of Total Female Driver Licences
Andhra Pradesh ,34102,116,34218,11520,95,11615,381236,33908,415144,426858,34119,460977,92.6,7.4
Arunachal Pradesh ,1979,0,1979,3162,15,3177,19669,4466,24135,24810,4481,29291,84.7,15.3
Assam,3535,NA,3535,1253,62,1315,110154,17367,127521,114942,17429,132371,86.83,13.17
Bihar,9742,19,9761,4755,2,4757,339848,8496,348344,354345,8517,362862,97.65,2.35
Chhattisgarh,8725,139,8864,8826,1201,10027,176632,23223,199855,194183,24563,218746,88.77,11.23
Goa,137,0,137,1485,10,1495,18598,8328,26926,20220,8338,28558,70.8,29.2
Gujarat,46234,75,46309,32527,47,32574,535535,79903,615438,614296,80025,694321,88.47,11.53
Haryana ,3973,15,3988,0,0,0,264997,43108,308105,268970,43123,312093,86.18,13.82
Himachal Pradesh ,9364,20,9384,5490,6,5496,101912,9047,110959,116766,9073,125839,92.79,7.21
Jammu and Kashmir,7905,0,7905,4976,0,4976,56564,11921,68485,69445,11921,81366,85.35,14.65
Jharkhand,193,0,193,478,3,481,161786,32497,194283,162457,32500,194957,83.33,16.67
Karnataka ,105672,177,105849,54835,6146,60981,731790,178970,910760,892297,185293,1077590,82.8,17.2
Kerala,29568,76,29644,29751,77,29828,512765,216969,729734,572084,217122,789206,72.49,27.51
Madhya Pradesh,216430,1968,218398,0,0,0,587821,84018,671839,804251,85986,890237,90.34,9.66
Maharashtra,79918,5849,85767,170692,7875,178567,795482,249446,1044928,1046092,263170,1309262,79.9,20.1
Manipur,263,NA,263,1093,0,1093,62268,8183,70451,63624,8183,71807,88.6,11.4
Meghalaya,4679,2,4681,NA,NA,0,28542,4910,33452,33221,4912,38133,87.12,12.88
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,500,0,500,4473,3,4476,10774,1427,12201,15747,1430,17177,91.67,8.33
Odisha,44069,0,44069,2098,0,2098,213934,32775,246709,260101,32775,292876,88.81,11.19
Punjab ,25538,84,25622,30912,37,30949,302535,34237,336772,358985,34358,393343,91.27,8.73
Rajasthan,0,0,0,0,0,46325,516222,63346,579568,0,0,625893,0,0
Sikkim ,1463,6,1469,19,0,19,4643,922,5565,6119,928,7053,86.76,13.16
Tamil Nadu,92458,2019,94477,92365,5424,97789,762954,280632,1043586,947777,288075,1235852,76.69,23.31
Telangana,44066,284,44350,9911,37,9948,339884,34794,374678,393861,35115,428976,91.81,8.19
Tripura,2823,1,2824,0,0,0,46376,1951,48327,49199,1952,51151,96.18,3.82
Uttarakhand,8784,4,8788,1795,3,1798,100864,22532,123396,111443,22539,133982,83.18,16.82
Uttar Pradesh,160326,19,160345,1765,10,1775,1405158,84217,1489375,1567249,84246,1651495,94.9,5.1
West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,1384,4,1388,848,8,856,7129,799,7928,9361,811,10172,92.03,7.97
Chandigarh,0,0,0,1320,4,1324,9867,3915,13782,11187,3919,15106,74.06,25.94
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,16022,406,16428,12917,62,12979,330222,56901,387123,359161,57369,416530,86.23,13.77
Lakshadweep,0,0,0,312,0,312,1367,137,1504,1679,137,1816,92.46,7.54
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,959852,11283,971135,489578,21127,557030,8937528,1633345,10570873,9870730,1602409,12099038,81.58,13.24
