Million Plus Cities,Transport - Multi-axled/Articulated Vehicles,Transport - Trucks and Lorries,Transport - Light Motor Vehicles (Goods) - Four Wheelers,Transport - Light Motor Vehicles (Goods) - Three Wheelers,Transport - Light Motor Vehicles (Goods) - Stage carriage,Transport - Light Motor Vehicles (Goods) - Contract carriage,Transport - Light Motor Vehicles (Goods) - Private Service,Transport - Light Motor Vehicles (Goods) - Other Buses,Transport - Taxies - Motor cab,Transport - Taxies - Maxi cab,Transport - Taxies - Other taxis,Transport - Light Motor Vehicles (Passengers-Auto) - Three Seaters,Transport - Light Motor Vehicles (Passengers-Auto) - Four to Six Seaters,Transport - Motor Cycles on Hire,Transport - Other vehicles not covered,Transport - Total Transport,Non-Transport - Two-Wheelers - Scooters,Non-Transport - Two-Wheelers - Mopeds,Non-Transport - Two-Wheelers - Motor Cycles,Non-Transport - Cars,Non-Transport - Jeeps,Non-Transport - Omni Buses,Non-Transport - Tractors,Non-Transport - Trailers,Non-Transport - Others,Non-Transport - Total Non-Transport
Nagpur,1545,16028,21298,11060,1779,1187,1328,2537,13,0,6150,16643,0,0,0,79568,494224,23422,742860,131529,39224,842,5716,5459,3933,1447209
Nashik,0,39,435,14948,494,719,105,717,1092,0,1713,16760,0,NA,0,37022,103507,27854,396145,73231,11428,82,3199,44164,11286,670896
Palakkad,1720,2891,4535,3497,920,1526,117,0,1472,0,156,0,15586,0,1505,33925,0,0,187199,41063,0,0,1510,0,3517,233289
Patna,6063,36852,11702,8442,9024,0,0,0,19456,0,0,67876,0,0,0,159415,0,4560,1110066,208264,42337,0,27270,16115,10139,1418751
Pune,5099,26872,34203,26129,2082,8161,1051,2855,221,0,18036,39851,0,0,0,164560,402816,160467,1476514,439922,34312,718,19020,10324,8669,2552762
Raipur,7682,59904,26156,6113,1336,318,2152,634,6239,409,0,13130,1198,0,0,125271,731961,131122,319738,122134,2547,14970,45756,30614,7525,1406367
Rajkot,1870,34649,25708,32157,391,4141,521,858,0,2541,5192,34368,NA,0,0,142396,1391334,294279,NA,235228,5106,0,49880,35003,10635,2021465
Ranchi,1923,34012,10742,29798,0,0,0,5127,6860,6548,0,96,1,0,0,95107,0,11894,485028,127947,21525,0,16033,7642,0,670069
Srinagar,0,13712,6045,8679,4974,0,2232,458,0,7345,2213,12976,0,NA,0,58634,32712,14031,107066,114385,6518,2,1788,112,2152,278766
Surat,1040,33174,34193,44033,779,2270,526,1421,0,1406,3823,107406,0,0,0,230071,2339097,286269,NA,463214,20778,0,21449,11743,5572,3148122
Trichy,2779,11996,6145,9033,3216,168,269,1750,8483,3540,141,12645,704,0,0,60869,132557,252291,344983,70841,1003,81,6656,1531,8329,818272
Thiruvananthapuram,1671,5608,10350,2080,6354,2414,2668,0,4796,0,4501,0,40756,0,7545,88743,0,0,475045,238709,0,0,346,0,10069,724169
Thrissur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varanasi ,5124,8598,16348,7716,1860,1132,2289,1934,6372,558,2720,23436,2987,75,0,81149,141355,56955,659439,70116,18647,413,18435,9362,2192,976914
Vijayawada ,2273,28779,13071,10903,2103,611,187,2134,6993,1517,845,NA,37148,66,5232,111862,NA,50774,571689,80898,1033,2652,10096,6636,15318,739096
Vadodara,10428,33778,30964,23939,203,3861,1880,305,0,5584,10613,79979,0,0,0,201534,1324729,401208,NA,303345,18277,0,39826,18253,7521,2113159
Visakhapatnam ,2088,13372,11088,4307,1351,726,287,1383,5043,2470,3924,NA,42022,151,619,88831,NA,1907,747031,113748,1401,2587,1386,114,7831,876005
TOTAL ,1249660,1285094,983869,674954,211558,103344,62070,99226,769916,177011,215497,1615110,768974,15452,104617,8336351,37011336,3769544,25115098,15000222,964361,192795,1185664,303017,439038,83981075
