States/Uts,January - Fatal Accidents,January - Total Accdents,January - Persons Killed,January - Persons Injured - Greviously Injured,January - Persons Injured - Minor Injury,January - Persons Injured - Total Injured,February - Fatal Accidents,February - Total Accdents,February - Persons Killed,February - Persons Injured - Greviously Injured,February - Persons Injured - Minor Injury,February - Persons Injured - Total Injured,March - Fatal Accidents,March - Total Accdents,March - Persons Killed,March - Persons Injured - Greviously Injured,March - Persons Injured - Minor Injury,March - Persons Injured - Total Injured,April - Fatal Accidents,April - Total Accdents,April - Persons Killed,April - Persons Injured - Greviously Injured,April - Persons Injured - Minor Injury,April - Persons Injured - Total Injured,May - Fatal Accidents,May - Total Accdents,May - Persons Killed,May - Persons Injured - Greviously Injured,May - Persons Injured - Minor Injury,May - Persons Injured - Total Injured,June - Fatal Accidents,June - Total Accdents,June - Persons Killed,June - Persons Injured - Greviously Injured,June - Persons Injured - Minor Injury,June - Persons Injured - Total Injured,July - Fatal Accidents,July - Total Accdents,July - Persons Killed,July - Persons Injured - Greviously Injured,July - Persons Injured - Minor Injury,July - Persons Injured - Total Injured,August - Fatal Accidents,August - Total Accdents,August - Persons Killed,August - Persons Injured - Greviously Injured,August - Persons Injured - Minor Injury,August - Persons Injured - Total Injured,September - Fatal Accidents,September - Total Accdents,September - Persons Killed,September - Persons Injured - Greviously Injured,September - Persons Injured - Minor Injury,September - Persons Injured - Total Injured,October - Fatal Accidents,October - Total Accdents,October - Persons Killed,October - Persons Injured - Greviously Injured,October - Persons Injured - Minor Injury,October - Persons Injured - Total Injured,November - Fatal Accidents,November - Total Accdents,November - Persons Killed,November - Persons Injured - Greviously Injured,November - Persons Injured - Minor Injury,November - Persons Injured - Total Injured,December - Fatal Accidents,December - Total Accdents,December - Persons Killed,December - Persons Injured - Greviously Injured,December - Persons Injured - Minor Injury,December - Persons Injured - Total Injured,Total - Fatal Accidents,Total - Total Accdents,Total - Persons Killed,Total - Persons Injured - Greviously Injured,Total - Persons Injured - Minor Injury,Total - Persons Injured - Total Injured
Sikkim,6,14,7,17,9,26,4,7,6,0,23,23,3,13,3,16,13,29,6,15,10,19,24,43,3,13,4,16,15,31,7,9,7,3,9,12,1,10,1,6,10,16,4,11,6,7,15,22,6,19,5,9,24,33,6,19,6,15,21,36,5,11,6,9,7,16,10,21,12,17,14,31,61,162,73,134,184,318
Tamil Nadu,915,5173,993,461,5638,6099,799,4749,856,415,5051,5466,853,5122,925,485,5586,6071,856,4776,922,426,5079,5505,893,4962,954,354,5612,5966,934,5209,983,432,5711,6143,814,4813,889,406,5142,5548,808,4767,878,349,5218,5567,794,4626,850,385,5293,5678,819,4708,866,413,5035,5448,640,4262,681,384,4542,4926,688,4061,728,366,4354,4720,9813,57228,10525,4876,62261,67137
Telangana,533,1800,581,242,1566,1808,534,1757,576,267,1566,1833,593,2011,645,225,1912,2137,583,1824,634,262,1691,1953,641,1979,674,279,1771,2050,596,1928,634,250,1680,1930,528,1790,561,223,1495,1718,453,1602,496,211,1365,1576,394,1353,423,211,1140,1351,493,1695,544,261,1536,1797,567,1864,602,240,1704,1944,557,1967,594,207,1695,1902,6472,21570,6964,2878,19121,21999
Tripura,25,70,27,124,3,127,23,62,24,65,0,65,17,47,17,73,0,73,17,38,17,48,0,48,15,59,15,75,0,75,11,54,12,66,0,66,19,50,21,51,0,51,21,55,21,56,2,58,20,50,26,48,1,49,10,50,10,83,0,83,25,63,26,57,3,60,21,57,23,61,0,61,224,655,239,807,9,816
Uttarakhand,63,121,75,103,18,121,74,109,80,67,27,94,59,105,61,52,11,63,61,107,74,70,16,86,64,128,74,133,30,163,69,134,81,169,57,226,59,124,70,142,14,156,56,108,67,115,12,127,50,85,61,97,25,122,61,100,72,73,18,91,57,100,63,61,13,74,77,131,89,114,20,134,750,1352,867,1196,261,1457
Uttar Pradesh,1602,3481,1822,1459,828,2287,1622,3314,1886,1460,745,2205,1852,3991,2130,1728,914,2642,1714,3512,1967,1534,828,2362,2024,4223,2314,1859,1024,2883,1931,4143,2284,1883,1031,2914,1532,3432,1806,1601,875,2476,1444,3304,1671,1509,778,2287,1183,2855,1355,1252,818,2070,1509,3172,1677,1270,798,2068,1725,3699,1961,1518,913,2431,1593,3446,1782,1430,877,2307,19731,42572,22655,18503,10429,28932
West Bengal,426,828,458,691,102,793,417,788,438,643,107,750,428,817,467,638,134,772,396,797,425,694,132,826,416,767,440,663,109,772,431,801,466,636,77,713,469,921,508,723,163,886,361,832,387,791,123,914,402,821,428,630,110,740,458,910,502,726,117,843,426,880,457,742,94,836,490,996,524,808,104,912,5120,10158,5500,8385,1372,9757
Andaman and Nicobar Island,2,17,2,3,12,15,4,14,4,4,11,15,3,29,3,6,13,19,2,25,2,10,19,29,2,14,2,6,10,16,3,23,3,7,11,18,1,22,1,12,8,20,0,14,0,3,5,8,1,15,1,4,8,12,2,18,2,6,16,22,0,20,0,10,7,17,0,19,0,3,13,16,20,230,20,74,133,207
Chandigarh,10,30,11,2,26,28,2,21,2,1,21,22,6,22,6,2,13,15,5,22,5,1,25,26,11,25,11,2,14,16,5,26,5,2,23,25,9,25,11,1,43,44,13,36,13,2,32,34,2,14,2,1,12,13,13,27,13,1,11,12,11,29,11,2,19,21,13,28,14,0,19,19,100,305,104,17,258,275
Dadra and Nagar Haveli,2,7,2,32,15,47,6,6,6,7,0,7,6,6,7,11,0,11,5,7,5,4,0,4,4,5,4,6,0,6,6,8,6,8,0,8,1,4,1,2,0,2,2,4,2,4,0,4,3,5,3,3,0,3,7,8,7,6,0,6,3,4,3,5,0,5,3,4,3,2,0,2,48,68,49,90,15,105
Daman and Diu,2,3,2,3,1,4,3,6,7,6,5,11,2,8,2,5,2,7,2,8,2,7,0,7,2,6,2,3,0,3,4,5,4,8,0,8,2,9,3,3,4,7,1,5,1,4,4,8,2,11,2,5,5,10,0,3,0,2,3,5,0,1,0,1,0,1,3,4,3,1,2,3,23,69,28,48,26,74
Delhi ,161,516,163,81,367,448,129,452,132,81,331,412,141,496,143,83,360,443,125,458,125,76,328,404,120,474,122,67,379,446,120,480,124,88,353,441,105,466,106,66,382,448,91,434,94,59,355,414,95,438,100,54,360,414,118,455,122,48,368,416,121,488,123,38,400,438,107,453,109,37,391,428,1433,5610,1463,778,4374,5152
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Puducherry,17,127,11,63,77,140,11,105,13,64,68,132,10,118,12,60,72,132,11,108,14,63,79,142,12,114,12,48,77,125,11,125,11,44,65,109,10,118,12,52,95,147,13,125,13,39,89,128,15,124,12,48,98,146,11,111,12,58,85,143,12,105,14,38,80,118,10,112,11,47,110,157,143,1392,147,624,995,1619
Total ,12541,41130,13688,16981,24112,41093,11470,37280,12577,15816,21836,37652,12393,39706,13587,16341,22887,39228,11884,37777,13112,16000,23165,39165,13342,41490,14644,17712,25146,42858,12579,39869,13983,16444,24047,40491,10731,36190,11875,14802,21289,36091,9842,34096,10740,13785,20434,34219,9237,32059,10148,12735,19551,32286,10656,35398,11595,14136,21392,35528,11327,36936,12504,14798,21897,36695,11687,37071,12660,14586,21469,36055,137689,449002,151113,184136,267225,451361
