States/UTs,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2016,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2017,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2018,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2019 - Number,State/UT-Wise Total Number of Persons Injured in Road Accidents during - 2019 - Rank,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2016,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2017,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2018,Share of States/UTs in Total Number of Persons Injured in Road Accidents - 2019,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2016,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2017,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2018,Total Number of Persons Injured in Road Accidents Per Lakh Population - 2019,"Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2016","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2017","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2018","Total Number of Persons injured in Road Accidents per 10,000 Vehicles - 2019","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2016","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2017","Total Number of Persons injured in Road Accidents per 10,000 Km of Roads - 2018"
Tamil Nadu,82163,74571,74537,67137,1,16.61120366,15.83332449,15.87859861,14.8743467,118.397314,106.9424925,106.4099819,95.44097578,33.94695643,28.5614528,26.58010916,22.24908168,3147.589431,2852.360699,2760.554583
Telangana,24217,23990,23613,21999,9,4.896042246,5.093688625,5.030271528,4.873925749,NA,NA,NA,NA,27.80626302,NA,21.53448701,18.13861035,1959.745483,1901.927335,1843.749848
Tripura,853,718,741,816,26,0.172454228,0.152449705,0.157855046,0.180786554,22.29482488,18.56736488,18.97081413,20.67916878,26.69946977,18.76206926,17.02939351,16.456291,216.6896227,167.2666991,171.4680418
Uttarakhand,1735,1631,1571,1457,23,0.350771495,0.346302882,0.33466974,0.322801483,16.31866065,15.15658396,14.43005419,13.23342416,9.188547945,7.631005557,6.333553724,5.293013912,284.340135,233.744178,297.2676524
Uttar Pradesh,25096,27494,29664,28932,5,5.073752992,5.837677159,6.319314555,6.409946805,11.50728146,12.41437854,13.19402746,12.68101967,10.48446535,10.46782505,10.09157533,8.844446148,594.11198,642.3000973,679.848147
West Bengal,11859,10091,11997,9757,13,2.397578767,2.14257657,2.555717932,2.161684328,12.67664351,10.69709755,12.61394821,10.1767927,18.2772642,13.55302003,13.98991518,10.00612551,374.4195231,313.3203186,364.5110115
Andaman and Nicobar Islands,323,263,260,207,32,0.065302128,0.055841605,0.055387735,0.045861295,58.62068966,46.71403197,45.2173913,35.20408163,29.06532048,21.63558437,19.82629119,14.67554289,2163.719185,1626.593505,1449.134811
Chandigarh,329,302,300,275,29,0.066515171,0.064122299,0.063908926,0.060926841,18.48314607,16.24529317,15.45595054,13.56015779,3.93100078,3.42097602,3.155277517,2.719326003,1166.265504,1070.618264,1181.427953
Dadra and Nagar Haveli,130,60,66,105,33,0.02628259,0.01273953,0.014059964,0.023262976,30.8056872,13.72997712,14.60176991,22.43589744,12.34310021,5.390157572,5.615778636,8.500510031,1146.66255,505.5488196,556.0100048
Daman and Diu,102,70,94,74,34,0.020621725,0.014862785,0.020024797,0.016394859,30.90909091,20.34883721,26.18384401,19.78609626,9.665772741,6.025185274,NA,NA,2058.069853,1642.032273,2566.342689
Delhi,7154,6604,6086,5152,18,1.446351168,1.402197569,1.296499069,1.141436677,33.61052384,30.16075996,27.02126715,22.24140908,7.371654741,6.436614551,5.695100277,4.522650164,4059.032425,3693.034564,3458.672416
Lakshadweep,0,1,3,1,36,0,0.000212325,0.000639089,0.000221552,0,1.219512195,3.614457831,1.19047619,0,0.552883286,1.658649859,0.552883286,0,47.09650073,133.6660132
Puducherry,1786,1741,1727,1619,22,0.361082358,0.369658687,0.367902381,0.358692931,107.0101857,100.4616272,96.05116796,86.67023555,20.68774593,18.7137495,17.30701972,15.23680097,5627.727999,5369.83381,4022.964676
Total ,494624,470975,469418,451361,NA,100,100,100,100,38.97866049,36.69169781,36.16351693,34.39619704,20.4744501,18.53128755,17.19557549,15.18764248,1001.372777,942.3888798,883.0622487
