S.No,Best performing SRTUs - Average Fleet Held (Numbers),Best performing SRTUs - Average Age of Fleet (Years),Best performing SRTUs - Over-aged vehicles (%),Best performing SRTUs - Number of Accidents per Lakh Revenue Earning Kilometres,Best performing SRTUs - Number of Fatal Accidents per Lakh Revenue Earning Kilometres,Best performing SRTUs - Revenue Earning Kilometres (Lakhs),Best performing SRTUs - Staff Strength (Number),Best performing SRTUs - Fuel Efficiency (Km/litre of HSD) or Km/KG of CNG,Best performing SRTUs - Passenger Kilometres Offered (Lakhs),Best performing SRTUs - Passenger Kms Performed (Lakhs),Best performing SRTUs - Occupancy Ratio (%),Best performing SRTUs - Passengers Carried (Lakhs),Best performing SRTUs - Passengers carried per Bus/Day (Number),Best performing SRTUs - Net Profit/Loss (Rs. lakh),Best performing SRTUs - Net Profit/Loss per Km (paise),Best performing SRTUs - Net Profit/Loss per Bus/Day (Rs.),Worst performing SRTUs - Average Fleet Held (Numbers),Worst performing SRTUs - Average Age of Fleet (Years),Worst performing SRTUs - Over-aged vehicles (%),Worst performing SRTUs - Number of Accidents per Lakh Revenue Earning Kilometres,Worst performing SRTUs - Number of Fatal Accidents per Lakh Revenue Earning Kilometres,Worst performing SRTUs - Revenue Earning Kilometres (Lakhs),Worst performing SRTUs - Staff Strength (Number),Worst performing SRTUs - Fuel Efficiency (Km/litre of HSD) or Km/KG of CNG,Worst performing SRTUs - Passenger Kilometres Offered (Lakhs),Worst performing SRTUs - Passenger Kms Performed (Lakhs),Worst performing SRTUs - Occupancy Ratio (%),Worst performing SRTUs - Passengers Carried (Lakhs),Worst performing SRTUs - Passengers carried per Bus/Day (Number),Worst performing SRTUs - Net Profit/Loss (Rs. lakh),Worst performing SRTUs - Net Profit/Loss per Km (paise),Worst performing SRTUs - Net Profit/Loss per Bus/Day (Rs.)
1,"Maharashtra SRTC (18,652)",Ahmedabad MTC (3.35),PUNBUS (0.00),NA,NA,"Maharashtra SRTC (20,337.58)","Maharashtra SRTC (1,01,196)",Agra - Mathura City TSL (5.72),"Maharashtra SRTC (8,81,431.00)","Maharashtra SRTC (6,24,445.00)",Arunachal Pradesh ST (113.79),"Telangana SRTC (34,291.75)",Metro TC (Chennai) Limited (1081.22),"Uttar Pradesh SRTC (12,269.23)","Meerut City TSL (8,545)","Meerut City TSL (2,973)",Tripura RTC (14),Bihar SRTC (14.85),Bihar SRTC (100.00),NA,NA,Mizoram ST (6.84),Meghalaya STC (251),West Bengal Transport Corp. (1.97),Nagaland ST (25.64),Nagaland ST (24.67),Andaman & Nicobar ST (3.24),Pepsu RTC (0.28),Pepsu RTC (0.07),"Delhi TC (-4,37,918.20)","Jammu and Kashmir SRTC (-51,198)","Jammu and Kashmir SRTC (-41,827)"
2,"Uttar Pradesh SRTC (12,143)",West Bengal Transport Corp. (3.730,Kerala SRTC (0.00),NA,NA,"Andhra Pradesh SRTC (15,633.97)","Andhra Pradesh SRTC (54,349)",TN STC (Kumbakonam) Ltd. (5.69),"Andhra Pradesh SRTC (7,46,053.05)","Andhra Pradesh SRTC (5,44,387.26)",Bihar SRTC (113.00),"Maharashtra SRTC (24,446.25)",TN STC (Tirunelvell) Ltd. (946.37),"Pepsu RTC (3,615.66)","Arunachal Pradesh ST (1,943)","Arunachal Pradesh ST (2,189)",Mizoram ST (42),Arunachal Pradesh ST (10.03),Arunachal Pradesh ST (87.67),NA,NA,Meerut CityTSL (16.00),Kanpur City TSL (258),Thane MT (2.05),Sholapur MT (34.16),Sholapur MT (31.69),Navi Mumbai MT (51.36),Mizoram ST (0.52),Jaipur City TS Ltd. (0.80),"Kerala SRTC (-2,01,740.64)","Mizoram ST (-38,913)","Delhi TC (-30,221)"
3,"Andhra Pradesh SRTC (11,687)",Kalyan Dombivali MT (3.95),BEST Undertaking (0.00),NA,NA,"Uttar Pradesh SRTC (14,934.11)","Telangana SRTC (52,507)",TN STC (Salem) Ltd. (5.64),"Uttar Pradesh SRTC (7,21,887.00)","Uttar Pradesh SRTC (4,83,664.00)",Pepsu RTC (100.95),"Andhra Pradesh SRTC (24,236.00)",Telangana SRTC (889.85),Arunachal Pradesh ST (175.04),Pepsu RTC (266),Pepsu RTC (867),Meghalaya STC (61),Jammu and Kashmir SRTC (10.000,Metro TC (Chennai) Litd. (78.29),NA,NA,Meghalaya STC (23.93),Mizoram ST (287),Ahemdabad Janmarg Ltd (2.30),Arunachal Pradesh ST (79.17),Meerut City TSL (73.00),North Eastern Karnataka RTC (51.50),Jaipur City TS Ltd. (1.49),Mizoram ST (3.38),"Andhra Pradesh SRTC (-1,20,539.00)","Delhi TC (-18,458)",Mizoram ST (-17362)
