S. No.,Name of State Road Transport Undertaking (SRTU),Traffic Revenue (Lakh) - Revenue from Passengers - 2018-19,Traffic Revenue (Lakh) - Revenue from Passengers - 2017-18,Traffic Revenue (Lakh) - Revenue from Passengers - 2016-17,Traffic Revenue (Lakh) - Others - 2018-19,Traffic Revenue (Lakh) - Others - 2017-18,Traffic Revenue (Lakh) - Others - 2016-17,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2018-19,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2017-18,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2016-17,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2018-19,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2017-18,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2016-17,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2018-19,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2017-18,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2016-17,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2018-19,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2017-18,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2016-17,Non-Traffic Revenue (Lakh) - Other Receipts - 2018-19,Non-Traffic Revenue (Lakh) - Other Receipts - 2017-18,Non-Traffic Revenue (Lakh) - Other Receipts - 2016-17,Total Non-Traffic Revenue(Lakhs) - 2018-19,Total Non-Traffic Revenue(Lakhs) - 2017-18,Total Non-Traffic Revenue(Lakhs) - 2016-17,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2018-19,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2017-18,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2016-17,"Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2018-19","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2017-18","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2016-17",Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2018-19,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2017-18,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2016-17,Total Reveunue (in lakh) - 2018-19,Total Reveunue (in lakh) - 2017-18,Total Reveunue (in lakh) - 2016-17,Staff Costs (Rs. Lakh) - 2018-19,Staff Costs (Rs. Lakh) - 2017-18,Staff Costs (Rs. Lakh) - 2016-17,Fuel and Lubricants Cost (Rs. Lakh) - 2018-19,Fuel and Lubricants Cost (Rs. Lakh) - 2017-18,Fuel and Lubricants Cost (Rs. Lakh) - 2016-17, Cost of Tyers and Tubes  (Rs. Lakh) - 2018-19, Cost of Tyers and Tubes  (Rs. Lakh) - 2017-18, Cost of Tyers and Tubes  (Rs. Lakh) - 2016-17,Cost of Spares (Rs. Lakh) - 2018-19,Cost of Spares (Rs. Lakh) - 2017-18,Cost of Spares (Rs. Lakh) - 2016-17,Interest (Rs. Lakh) - 2018-19,Interest (Rs. Lakh) - 2017-18,Interest (Rs. Lakh) - 2016-17,Depreciation (Rs. Lakh) - 2018-19,Depreciation (Rs. Lakh) - 2017-18,Depreciation (Rs. Lakh) - 2016-17,Payments to Hired Buses(Rs.  Lakh) - 2018-19,Payments to Hired Buses(Rs.  Lakh) - 2017-18,Payments to Hired Buses(Rs.  Lakh) - 2016-17,Payment for accidents compensation (In lakh) - 2018-19,Payment for accidents compensation (In lakh) - 2017-18,Payment for accidents compensation (In lakh) - 2016-17,Other Cost (Rs. Lakh) - 2018-19,Other Cost (Rs. Lakh) - 2017-18,Other Cost (Rs. Lakh) - 2016-17,Taxes (Rs. Lakh) - M.V. Tax - 2018-19,Taxes (Rs. Lakh) - M.V. Tax - 2017-18,Taxes (Rs. Lakh) - M.V. Tax - 2016-17,Taxes (Rs. Lakh) - Passenger Taxes - 2018-19,Taxes (Rs. Lakh) - Passenger Taxes - 2017-18,Taxes (Rs. Lakh) - Passenger Taxes - 2016-17,Taxes (Rs. Lakh) - GST - 2018-19,Taxes (Rs. Lakh) - GST - 2017-18,Taxes (Rs. Lakh) - GST - 2016-17,Taxes (Rs. Lakh) - Other Taxes - 2018-19,Taxes (Rs. Lakh) - Other Taxes - 2017-18,Taxes (Rs. Lakh) - Other Taxes - 2016-17,Taxes (Rs. Lakh) - Total Taxes - 2018-19,Taxes (Rs. Lakh) - Total Taxes - 2017-18,Taxes (Rs. Lakh) - Total Taxes - 2016-17,Other Cost(Misc)(Rs. Lakh) - 2018-19,Other Cost(Misc)(Rs. Lakh) - 2017-18,Other Cost(Misc)(Rs. Lakh) - 2016-17,Total Cost (In lakh) - 2018-19,Total Cost (In lakh) - 2017-18,Total Cost (In lakh) - 2016-17
21,Tripura RTC,23.33,12.74,12.60,15.92,33.60,37.92,39.25,46.34,50.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,39.25,46.34,50.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,NA,NA,NA,0.00,0.00,0.00
22,Uttar Pradesh SRTC,452319.16,437763.35,390365.39,NA,NA,NA,452319.16,437763.35,390365.39,709.04,605.90,651.13,1410.65,1735.96,729.60,0.00,0.00,0.00,5699.44,6175.79,5001.76,7819.13,8517.65,6382.49,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,460138.29,446281.00,396747.88,162331.53,143563.05,138728.50,130238.47,125575.32,104533.83,6755.36,5829.66,5238.77,12283.44,10442.97,9273.16,10.53,1019.49,1171.85,17653.12,21301.86,17228.97,70715.50,68741.54,62198.09,NA,NA,NA,4864.27,7208.75,3988.10,1633.35,1445.73,1318.64,25910.01,27290.35,24402.38,NA,NA,NA,23757.61,21593.05,18946.17,51300.97,50329.13,44667.19,NA,NA,NA,456153.19,434011.77,387028.46
23,Uttarakhand  TC,53371.08,53235.34,47160.04,1268.66,1386.59,1292.36,54639.74,54621.93,48452.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,1956.21,1277.85,1115.86,NA,NA,NA,1956.21,1277.85,1115.86,56595.95,55899.78,49568.26,25204.24,24197.35,22079.03,20581.94,19373.08,15781.72,934.87,876.52,821.63,901.10,822.96,1018.95,NA,NA,NA,2413.26,3466.69,2268.13,5061.17,4484.94,4397.28,NA,NA,NA,NA,NA,NA,3074.08,3218.63,2751.00,NA,NA,NA,NA,NA,NA,16.64,11.40,11.63,3090.72,3230.03,2762.63,1866.61,1749.88,2374.07,60053.91,58201.45,51503.44
24,West Bengal  Transport Corp.,10756.00,12133.00,10656.00,120.00,120.00,166.00,10876.00,12253.00,10822.00,9.00,8.00,8.00,35.00,64.00,29.00,NA,NA,NA,27.00,31.00,9.00,71.00,103.00,46.00,21629.00,27147.00,23654.00,NA,NA,NA,21629.00,27147.00,23654.00,32576.00,39503.00,34522.00,18156.00,21140.00,22189.00,20163.00,17999.00,16757.00,296.00,379.00,402.00,835.00,768.00,808.00,NA,NA,NA,5474.00,5098.00,5181.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,NA,NA,NA,44924.00,45384.00,45337.00
NA,TOTAL Corporations,3614307.68,3414713.53,3215256.33,69305.26,71451.64,70999.48,3683612.94,3486165.17,3286255.81,13828.69,11692.77,11699.82,18787.13,20846.02,12802.01,10894.34,9649.24,9208.60,187208.93,167506.46,145200.95,230719.09,209694.49,178911.38,544448.29,473751.62,441553.52,356991.51,265363.19,194068.00,901439.80,739114.81,635621.52,4815771.83,4434974.47,4100788.71,2256182.51,2304434.01,2185441.40,1578933.53,1387330.17,1307286.22,65135.03,59868.14,62811.32,90359.68,84181.52,83397.46,632735.20,599491.59,520079.00,206466.46,191897.02,186054.20,281332.41,254957.33,220459.82,78110.12,58777.33,57166.04,201582.33,213940.38,198344.68,114034.28,108590.99,101965.78,145342.25,142806.91,135112.39,7680.73,6179.41,2856.15,84256.08,87060.89,79947.73,351313.34,344638.20,319882.05,102450.54,87460.00,89574.30,5844601.15,5586975.69,5230496.49
25,Kadamba TC Ltd.,8327.69,7265.00,7029.78,0.00,0.00,0.00,8327.69,7265.00,7029.78,75.11,76.14,43.36,35.17,1.78,23.21,0.00,3.18,5.41,2251.47,2536.26,2826.32,2361.75,2617.36,2898.30,1409.20,1292.33,1276.25,8000.00,5794.00,5500.00,9409.20,7086.33,6776.25,20098.64,16968.69,16704.33,12178.79,9904.44,9561.86,5810.35,4481.99,4118.40,369.29,302.46,271.03,1040.12,843.59,528.11,275.52,344.83,450.55,1335.84,1098.03,1063.88,171.62,179.80,179.06,0.00,0.00,0.00,979.45,745.48,627.87,0.00,0.00,0.00,209.72,205.91,195.22,0.00,0.00,0.00,70.32,42.48,34.16,280.04,248.39,229.38,-54.38,-76.82,27.29,22386.64,18072.19,17057.43
26,Metro TC (Chennai) Limited,108161.58,99891.45,104144.39,169.53,139.67,139.04,108331.11,100031.12,104283.43,697.89,519.90,761.37,426.00,424.05,332.20,33.55,24.21,128.11,8188.10,3238.63,2553.73,9345.54,4206.79,3775.41,31761.35,26657.94,23050.31,4285.36,8597.00,8461.09,36046.71,35254.94,31511.40,153723.36,139492.85,139570.24,135362.51,133384.81,116818.13,48528.97,42790.04,42175.78,2297.82,2151.65,2311.11,4774.48,5253.55,4855.14,17459.09,15036.75,11533.50,2268.29,3363.25,4362.82,NA,NA,NA,2600.64,2113.61,4196.45,NA,NA,NA,1002.70,1192.92,1143.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.70,1192.92,1143.41,5537.56,7251.96,4121.90,219832.06,212538.54,191518.24
27,PUNBUS,49404.48,43453.10,38122.64,0.00,0.00,0.00,49404.48,43453.10,38122.64,84.52,102.74,137.85,256.51,108.89,50.36,377.09,625.70,501.03,3456.83,1868.50,2608.33,4174.95,2705.83,3297.57,4856.75,4283.55,8053.36,0.00,0.00,0.00,4856.75,4283.55,8053.36,58436.18,50442.48,49473.57,7653.50,7263.44,6110.08,24071.75,20972.59,18189.76,759.08,694.58,808.74,623.55,581.70,1468.35,588.42,305.82,439.57,3490.38,1014.40,1161.48,1282.48,1405.29,1602.75,618.36,528.79,1013.62,NA,NA,NA,7737.33,7783.08,6075.51,446.55,535.76,1211.80,0.00,0.00,0.00,0.00,0.00,0.00,8183.88,8318.84,7287.31,10651.10,8950.60,10857.90,57922.50,50036.05,48939.56
28,State Exp.TC TN Ltd.,61422.54,57522.08,56992.53,41.73,39.19,36.32,61464.27,57561.27,57028.85,0.00,0.67,0.00,159.64,121.46,151.14,5.72,0.00,0.00,5859.74,5617.42,5447.84,6025.10,5739.55,5598.98,864.64,185.58,661.83,2505.95,5181.85,4712.03,3370.59,5367.43,5373.86,70859.96,68668.25,68001.69,43569.24,38496.38,30705.18,29176.43,26018.87,24467.01,1301.81,1100.54,1200.62,1581.75,1391.80,1385.14,10106.36,9802.31,8378.19,2172.99,2133.16,3426.31,0.00,0.00,0.00,1199.69,1335.49,3163.65,2310.74,4259.45,2941.82,983.78,992.10,993.09,0.00,0.00,0.00,101.01,58.15,0.00,4407.35,4355.42,4238.33,5492.14,5405.67,5231.42,3056.44,4233.25,4839.33,99967.59,94176.92,85738.67
29,TN STC (Coimbatore) Ltd.,118965.24,102334.74,102072.54,1100.41,661.27,713.81,120065.65,102996.01,102786.35,277.59,195.57,266.91,402.29,423.74,407.97,0.00,0.00,0.00,10033.37,3060.08,2041.04,10713.25,3679.39,2715.92,14575.25,11240.02,11361.74,2088.86,13447.02,9730.43,16664.11,24687.04,21092.17,147443.01,131362.44,126594.44,124282.87,144219.22,92770.74,59226.09,51947.70,50196.71,1641.01,1405.27,1571.66,3695.12,3979.13,4027.69,15061.10,17475.33,12031.72,4048.52,3087.89,3196.26,0.00,0.00,0.00,4534.42,3280.10,2971.05,0.00,0.00,0.00,3204.04,3359.01,3463.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3204.04,3359.01,3463.52,4129.82,2994.65,4444.90,219822.99,231748.30,174674.25
30,TN STC (Kumbakonam) Ltd.,167525.07,140119.26,133430.78,820.42,607.94,648.58,168345.49,140727.20,134079.36,261.53,258.34,245.56,440.65,411.99,478.14,115.31,87.95,124.22,2946.25,2429.00,2403.01,3763.74,3187.28,3250.93,23257.49,15614.30,13956.13,6215.25,12892.43,12263.00,29472.74,28506.73,26219.13,201581.97,172421.21,163549.42,146280.96,141404.51,107697.51,73686.59,64566.27,61078.05,3300.79,3098.42,3552.67,1872.88,2323.61,1970.67,13059.25,13474.87,11824.29,3181.60,2592.96,3749.93,0.00,0.00,0.00,4390.76,5282.26,6113.56,1041.14,1068.65,2481.43,4252.60,4330.13,4845.70,0.00,0.00,0.00,0.00,0.00,0.00,2257.13,2251.67,2050.92,6509.73,6581.80,6896.62,2550.83,2480.10,5907.18,255874.53,242873.45,211271.91
31,TN STC (Madurai) Ltd.,98553.04,87703.54,83725.75,7879.35,2254.26,1452.72,106432.39,89957.80,85178.47,182.92,208.88,207.43,351.71,253.32,328.84,31.79,29.84,44.90,657.06,814.84,1068.59,1223.48,1306.88,1649.76,18909.25,11573.48,11480.30,4134.41,8502.64,8072.21,23043.66,20076.12,19552.51,130699.53,111340.80,106380.74,83684.08,66580.25,58594.74,49187.88,43137.87,41520.28,1378.87,1238.78,1374.21,2663.24,2656.16,2543.00,11067.81,9992.38,7131.73,67.86,96.89,98.99,1604.75,1835.38,2635.50,2881.64,2848.95,4079.27,25719.77,23120.50,14967.03,2234.00,2208.35,2271.00,0.00,0.00,0.00,0.00,0.00,0.00,50.65,54.90,43.28,2284.65,2263.25,2314.28,6519.22,6471.77,5656.22,187059.77,160242.18,140915.25
32,TN STC (Salem) Ltd.,91692.58,79949.82,77382.51,0.00,0.00,0.00,91692.58,79949.82,77382.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,2326.91,1064.72,1349.44,2326.91,1064.72,1349.44,15155.58,15629.81,14451.86,NA,NA,NA,15155.58,15629.81,14451.86,109175.07,96644.35,93183.81,90331.34,104397.93,61522.61,43426.28,38606.81,37653.81,1685.83,1859.54,1807.60,1799.79,2271.48,1868.20,10591.91,9362.16,6587.53,2451.98,1653.32,2279.30,0.00,0.00,0.00,725.59,3244.23,3637.90,4819.64,6066.47,5803.71,0.00,0.00,0.00,2473.21,2468.56,2552.79,0.00,0.00,0.00,0.00,0.00,0.00,2473.21,2468.56,2552.79,0.00,0.00,0.00,158305.57,169930.50,123713.45
33,TN STC (Villupuram) Ltd.,163563.59,143442.20,135745.79,8904.11,1862.65,337.62,172467.70,145304.85,136083.41,119.01,0.00,101.86,337.66,426.47,452.48,NA,NA,NA,2184.40,1986.46,2113.87,2641.07,2412.93,2668.21,21696.12,14086.35,13416.52,6717.80,13397.77,12699.00,28413.92,27484.12,26115.52,203522.69,175201.90,164867.14,126721.14,174797.44,104394.83,74993.14,66996.60,64038.33,2165.16,1739.63,2219.53,4279.45,4421.69,4175.46,10625.69,9623.48,7392.09,3025.50,2672.20,3771.35,0.00,0.00,0.00,6941.48,3950.02,3959.12,0.00,0.00,0.00,3925.56,4036.58,4147.82,0.00,0.00,0.00,NA,NA,NA,0.00,0.00,0.00,3925.56,4036.58,4147.82,9096.41,12673.14,8365.99,241773.53,280910.78,202464.52
34,TN STC ( Tirunelvell) Ltd.,73786.14,63702.22,60577.13,2676.19,663.16,531.63,76462.33,64365.38,61108.76,117.25,97.63,14.85,281.92,269.71,396.26,7.14,10.11,9.61,675.92,667.18,988.32,1082.23,1044.63,1409.04,10316.86,7057.16,6532.25,3342.80,6335.68,6020.58,13659.66,13392.84,12552.83,91204.22,78802.85,75070.63,87087.56,71507.62,54010.44,36923.97,32064.27,31088.14,1655.16,1671.34,1679.63,1128.05,1136.40,1328.83,12255.48,14856.32,12446.32,1821.29,1699.47,1847.73,0.00,0.00,0.00,1806.86,2288.79,2248.59,0.00,0.00,0.00,1977.46,2046.09,2122.05,0.00,0.00,0.00,0.00,0.00,0.00,30.17,25.70,88.37,2007.63,2071.79,2210.42,4275.86,4961.51,5012.43,148961.86,132257.51,111872.53
NA,TOTAL Companies,941401.95,825383.41,799223.84,21591.74,6228.14,3859.72,962993.69,831611.55,803083.56,1815.82,1459.87,1779.19,2691.55,2441.41,2620.60,570.60,780.99,813.28,38580.05,23283.09,23400.49,43658.02,27965.36,28613.56,142802.49,107620.52,104240.55,37290.43,74148.39,67458.34,180092.92,181768.91,171698.89,1186744.63,1041345.82,1003396.01,857151.99,891956.04,642186.12,445031.45,391583.01,374526.27,16554.82,15262.21,16796.80,23458.43,24859.11,24150.59,101090.63,100274.25,78215.49,23864.25,19411.57,24958.05,3058.85,3420.47,4417.31,25699.44,24872.24,31383.21,34870.74,35260.55,26821.86,25317.47,25948.26,25062.10,3129.48,3210.23,3959.81,101.01,58.15,0.00,6815.62,6730.17,6455.06,35363.58,35946.81,35476.97,45762.86,49940.16,49233.14,1611907.04,1592786.42,1308165.81
35,Andaman & Nicobar ST,2079.27,1911.97,1646.69,NA,NA,NA,2079.27,1911.97,1646.69,NA,NA,NA,NA,NA,6.01,NA,NA,NA,NA,NA,NA,0.00,0.00,6.01,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,2079.27,1911.97,1652.70,5618.53,5149.21,4611.58,1793.68,1795.46,1799.46,151.00,180.00,180.00,529.50,616.61,349.99,0.00,0.00,0.00,5349.44,5246.43,5104.02,35.26,20.75,20.75,43.43,0.00,0.00,0.00,0.00,0.00,636.32,537.69,297.83,2079.27,1911.97,1646.49,NA,NA,NA,NA,NA,NA,2715.59,2449.66,1944.32,NA,NA,NA,16236.43,15458.12,14010.12
36,Arunachal Pradesh ST,1747.00,1808.00,1588.00,9.00,9.52,10.00,1756.00,1817.52,1598.00,0.00,0.48,0.00,1.00,11.00,1.00,0.00,16.00,2.00,3.00,3.00,1.00,4.00,30.48,4.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,1760.00,1848.00,1602.00,47.66,43.96,39.06,23.76,25.47,26.03,2.35,2.20,2.30,21.78,26.33,25.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,NA,NA,NA,95.55,97.96,92.65
37,Chandigarh TU,10849.16,11559.81,14179.26,701.90,780.63,790.50,11551.06,12340.44,14969.76,182.18,148.45,251.16,NA,NA,NA,NA,NA,NA,2420.43,2447.82,2533.83,2602.61,2596.27,2784.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14153.67,14936.71,17754.75,9319.79,10636.28,11641.54,5622.97,6352.33,7737.58,265.08,273.45,302.29,1176.92,1180.38,1620.05,100.28,115.02,101.95,1133.50,1427.05,1264.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.19,55.15,23.86,701.90,780.63,790.50,0.00,0.00,0.00,352.03,342.42,586.65,1069.12,1178.20,1401.01,3964.70,3469.43,3702.77,22652.36,24632.14,27772.05
38,Haryana ST,123570.05,129812.22,133117.85,NA,NA,NA,123570.05,129812.22,133117.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,10717.83,12222.73,10484.30,10717.83,12222.73,10484.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134287.88,142034.95,143602.15,112100.27,106760.86,98618.96,57364.27,52302.08,52910.66,2476.10,2561.40,2748.45,4780.30,5156.80,5297.29,3850.00,3850.00,3850.00,4375.00,4375.00,4075.00,0.00,0.00,0.00,373.38,52.06,147.07,0.00,0.00,0.00,471.18,1078.31,1074.03,15335.16,14692.60,17089.08,0.00,0.00,0.00,11000.61,11177.10,10956.48,26806.95,26948.01,29119.59,7023.56,7599.56,6608.18,219149.83,209605.77,203375.20
39,Mizoram ST,191.79,144.20,159.87,0.00,0.00,0.00,191.79,144.20,159.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.90,11.38,27.27,22.90,11.38,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.69,155.58,187.14,2326.00,2079.58,2143.16,120.99,139.63,156.37,39.35,35.00,37.45,128.60,90.00,91.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.15,58.48,58.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.37,414.54,134.18,2952.46,2817.23,2620.37
40,Nagaland ST,850.00,720.00,1031.00,NA,NA,NA,850.00,720.00,1031.00,25.00,15.00,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00,15.00,49.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,875.00,735.00,1080.00,5021.80,4279.15,4001.95,500.00,500.00,850.00,465.50,500.50,530.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.06,25.06,25.06,522.74,673.87,392.04,1.01,16.44,10.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,16.44,10.53,NA,NA,NA,6536.11,5995.02,5810.08
41,State Transport Punjab,16641.07,10966.02,14596.13,1357.79,1366.68,1306.11,17998.86,12332.70,15902.24,0.00,0.00,0.00,1052.47,820.57,1145.68,0.00,0.00,0.00,0.00,0.00,0.00,1052.47,820.57,1145.68,1847.97,2716.19,4335.87,0.00,0.00,0.00,1847.97,2716.19,4335.87,20899.30,15869.46,21383.79,17783.10,18351.51,19144.63,2425.68,2356.38,3581.54,151.73,196.62,57.98,223.04,232.11,40.55,267.53,267.53,277.14,34.56,47.18,36.18,0.00,132.20,213.55,524.88,384.17,172.60,0.00,0.00,0.00,923.95,994.09,1372.14,49.67,35.46,0.00,0.00,0.00,0.00,164.02,0.00,NA,1137.64,1029.55,1372.14,611.20,345.79,375.35,23159.36,23343.04,25271.66
42,Sikkim NT ,834.54,795.55,682.66,0.00,0.00,0.00,834.54,795.55,682.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4234.68,4205.25,3851.88,4234.68,4205.25,3851.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5069.22,5000.80,4534.54,4380.00,3680.00,3476.00,850.00,820.00,750.00,65.02,68.00,40.31,141.69,85.12,92.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.89,27.42,27.58,22.31,22.31,22.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.31,22.31,22.31,613.69,909.69,494.69,6102.60,5612.54,4903.58
NA,Total Govt Deptts.,156762.88,157717.77,167001.46,2068.69,2156.83,2106.61,158831.57,159874.60,169108.07,207.18,163.93,300.16,1053.47,831.57,1152.69,0.00,16.00,2.00,17398.84,18890.18,16898.28,18659.49,19901.68,18353.13,1847.97,2716.19,4335.87,0.00,0.00,0.00,1847.97,2716.19,4335.87,179339.03,182492.47,191797.07,156597.15,150980.55,143676.88,68701.35,64291.35,67811.64,3616.13,3817.17,3899.28,7001.83,7387.35,7516.98,4217.81,4232.55,4229.09,10892.50,11095.66,10480.06,35.26,152.95,234.30,966.75,461.29,344.73,628.78,759.77,477.68,2069.96,2703.99,2800.70,18166.00,17420.66,19526.07,0.00,0.00,0.00,11516.66,11519.52,11543.13,31752.62,31644.17,33869.90,12474.52,12739.01,11315.17,296884.70,287561.82,283855.71
43,Ahmadabad Janmarg Ltd,5812.01,5368.77,5582.04,NA,NA,NA,5812.01,5368.77,5582.04,83.73,161.84,161.56,NA,NA,NA,3.87,4.16,3.13,NA,NA,NA,87.60,166.00,164.69,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,5899.61,5534.77,5746.73,1738.36,1606.14,1074.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81,0.00,0.00,777.00,1898.86,2876.03,9507.21,9252.50,9949.75,NA,NA,NA,285.00,146.38,213.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80,8.87,0.73,0.80,8.87,0.73,NA,NA,NA,12317.18,12912.75,14114.55
44,Ahmedabad MTC ,9437.98,9402.08,10268.98,0.00,0.00,0.00,9437.98,9402.08,10268.98,1790.32,727.06,193.93,65.32,262.09,48.17,0.00,0.00,0.00,1395.34,889.56,888.71,3250.98,1878.71,1130.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12688.96,11280.79,11399.79,25414.46,23804.84,20263.92,919.92,1298.19,1878.09,42.92,98.16,121.14,204.92,336.92,585.69,745.65,723.88,710.98,0.00,0.00,0.00,13223.40,10232.56,10313.59,NA,NA,NA,254.89,193.63,0.00,11.68,14.19,14.68,83.22,86.31,1513.26,98.96,47.86,NA,0.00,0.00,0.00,193.86,148.36,1527.94,1949.73,5170.36,6750.11,42949.75,42006.90,42151.46
45,BEST Undertaking,91967.45,105249.06,117891.08,1407.31,1418.44,1510.91,93374.76,106667.50,119401.99,5574.30,5254.47,5890.10,410.16,597.57,445.67,0.00,0.00,0.00,4118.62,-1413.07,3815.89,10103.08,4438.97,10151.66,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,103477.84,111106.47,129553.65,138016.22,150018.72,156851.18,34709.45,34352.95,36303.94,839.60,839.07,1465.22,4089.23,5026.71,7983.44,11211.32,9379.03,9418.80,3012.92,3929.47,3756.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.64,200.86,223.36,981.34,NA,NA,NA,NA,NA,2925.29,NA,NA,4078.27,200.86,223.36,8805.89,3128.03,3139.04,204762.90,206874.84,219141.07
46,Kolhapur MTU,2792.05,2811.12,2792.90,0.00,0.00,0.00,2792.05,2811.12,2792.90,55.77,27.19,17.16,0.14,NA,60.73,0.60,0.58,0.53,511.53,351.49,460.22,568.04,379.26,538.64,0.00,0.00,0.00,1325.02,1413.92,1271.17,1325.02,1413.92,1271.17,4685.11,4604.30,4602.71,2019.62,1940.95,1964.58,1772.35,1594.60,1501.54,103.78,93.09,54.61,110.56,68.22,91.27,0.00,0.00,0.00,307.05,742.54,749.51,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,93.70,85.78,81.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.70,85.78,81.53,601.60,948.69,540.09,5008.66,5473.87,5021.13
47,Navi Mumbai MT,12710.17,12710.86,11481.98,NA,NA,NA,12710.17,12710.86,11481.98,487.13,474.66,404.66,4.07,51.08,0.00,99.77,57.56,54.72,1109.45,309.08,227.45,1700.42,892.38,686.83,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,14410.59,13603.24,12168.81,4547.88,4595.91,5128.03,5936.68,4638.73,4235.46,206.92,185.31,239.42,1523.22,1470.06,1540.87,42.63,56.97,95.72,2071.01,2317.89,1946.54,3673.86,2983.96,1606.24,NA,NA,NA,1200.96,1118.65,940.32,11.68,13.52,12.42,NA,NA,NA,NA,NA,NA,435.93,364.08,456.78,447.61,377.60,469.20,NA,NA,NA,19650.77,17745.08,16201.80
