S. No.,Name of State Road Transport Undertaking (SRTU),Traffic Revenue (Lakh) - Revenue from Passengers - 2018-19,Traffic Revenue (Lakh) - Revenue from Passengers - 2017-18,Traffic Revenue (Lakh) - Revenue from Passengers - 2016-17,Traffic Revenue (Lakh) - Others - 2018-19,Traffic Revenue (Lakh) - Others - 2017-18,Traffic Revenue (Lakh) - Others - 2016-17,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2018-19,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2017-18,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2016-17,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2018-19,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2017-18,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2016-17,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2018-19,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2017-18,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2016-17,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2018-19,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2017-18,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2016-17,Non-Traffic Revenue (Lakh) - Other Receipts - 2018-19,Non-Traffic Revenue (Lakh) - Other Receipts - 2017-18,Non-Traffic Revenue (Lakh) - Other Receipts - 2016-17,Total Non-Traffic Revenue(Lakhs) - 2018-19,Total Non-Traffic Revenue(Lakhs) - 2017-18,Total Non-Traffic Revenue(Lakhs) - 2016-17,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2018-19,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2017-18,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2016-17,"Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2018-19","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2017-18","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2016-17",Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2018-19,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2017-18,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2016-17,Total Reveunue (in lakh) - 2018-19,Total Reveunue (in lakh) - 2017-18,Total Reveunue (in lakh) - 2016-17,Staff Costs (Rs. Lakh) - 2018-19,Staff Costs (Rs. Lakh) - 2017-18,Staff Costs (Rs. Lakh) - 2016-17,Fuel and Lubricants Cost (Rs. Lakh) - 2018-19,Fuel and Lubricants Cost (Rs. Lakh) - 2017-18,Fuel and Lubricants Cost (Rs. Lakh) - 2016-17, Cost of Tyers and Tubes  (Rs. Lakh) - 2018-19, Cost of Tyers and Tubes  (Rs. Lakh) - 2017-18, Cost of Tyers and Tubes  (Rs. Lakh) - 2016-17,Cost of Spares (Rs. Lakh) - 2018-19,Cost of Spares (Rs. Lakh) - 2017-18,Cost of Spares (Rs. Lakh) - 2016-17,Interest (Rs. Lakh) - 2018-19,Interest (Rs. Lakh) - 2017-18,Interest (Rs. Lakh) - 2016-17,Depreciation (Rs. Lakh) - 2018-19,Depreciation (Rs. Lakh) - 2017-18,Depreciation (Rs. Lakh) - 2016-17,Payments to Hired Buses(Rs.  Lakh) - 2018-19,Payments to Hired Buses(Rs.  Lakh) - 2017-18,Payments to Hired Buses(Rs.  Lakh) - 2016-17,Payment for accidents compensation (In lakh) - 2018-19,Payment for accidents compensation (In lakh) - 2017-18,Payment for accidents compensation (In lakh) - 2016-17,Other Cost (Rs. Lakh) - 2018-19,Other Cost (Rs. Lakh) - 2017-18,Other Cost (Rs. Lakh) - 2016-17,Taxes (Rs. Lakh) - M.V. Tax - 2018-19,Taxes (Rs. Lakh) - M.V. Tax - 2017-18,Taxes (Rs. Lakh) - M.V. Tax - 2016-17,Taxes (Rs. Lakh) - Passenger Taxes - 2018-19,Taxes (Rs. Lakh) - Passenger Taxes - 2017-18,Taxes (Rs. Lakh) - Passenger Taxes - 2016-17,Taxes (Rs. Lakh) - GST - 2018-19,Taxes (Rs. Lakh) - GST - 2017-18,Taxes (Rs. Lakh) - GST - 2016-17,Taxes (Rs. Lakh) - Other Taxes - 2018-19,Taxes (Rs. Lakh) - Other Taxes - 2017-18,Taxes (Rs. Lakh) - Other Taxes - 2016-17,Taxes (Rs. Lakh) - Total Taxes - 2018-19,Taxes (Rs. Lakh) - Total Taxes - 2017-18,Taxes (Rs. Lakh) - Total Taxes - 2016-17,Other Cost(Misc)(Rs. Lakh) - 2018-19,Other Cost(Misc)(Rs. Lakh) - 2017-18,Other Cost(Misc)(Rs. Lakh) - 2016-17,Total Cost (In lakh) - 2018-19,Total Cost (In lakh) - 2017-18,Total Cost (In lakh) - 2016-17
11,Maharashtra SRTC,610159.64,543819.54,534805.68,6141.75,7836.23,7615.96,616301.39,551655.77,542421.64,2111.40,2051.33,1491.79,6040.58,7016.28,2833.53,416.82,13.49,13.61,19424.74,19885.87,22209.01,27993.54,28966.97,26547.94,167727.67,136177.75,136663.42,0.00,0.00,0.00,167727.67,136177.75,136663.42,812022.60,716800.49,705633.00,378791.60,378898.88,322178.64,303797.25,255634.94,249164.35,15941.77,13594.51,14718.15,14210.63,11548.53,10173.03,171.83,492.38,214.84,27465.83,24337.60,32550.17,10691.37,2311.51,1106.71,16478.08,8837.93,7910.48,23713.34,18501.33,21163.05,1565.92,849.47,782.76,95311.72,89742.59,88994.55,4960.39,2545.00,0.00,13840.37,12332.15,11033.29,115678.40,105469.21,100810.60,NA,NA,NA,906940.10,819626.82,759990.02
12,Meghalaya STC,506.90,470.45,525.86,0.00,0.00,0.00,506.90,470.45,525.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.33,89.69,41.81,89.33,89.69,41.81,750.00,580.00,750.00,0.00,0.00,0.00,750.00,580.00,750.00,1346.23,1140.14,1317.67,1137.00,1126.00,963.89,388.00,326.00,296.97,33.00,25.00,15.40,61.00,41.00,24.29,0.00,0.00,0.00,110.00,93.00,75.09,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,5.00,3.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,4.00,6.35,9.00,9.00,6.35,40.00,218.00,81.66,1780.00,1839.00,1463.65
13,North Bengal STC,16859.18,14632.09,13203.18,0.00,0.00,0.00,16859.18,14632.09,13203.18,NA,NA,NA,NA,NA,45.41,NA,NA,NA,369.00,185.93,117.35,369.00,185.93,162.76,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,17228.18,14818.02,13365.94,17322.64,16656.33,15641.19,11198.89,9124.18,7930.80,475.49,482.03,495.63,915.72,914.53,758.28,1505.16,1505.16,1505.16,609.00,609.00,609.00,7.06,9.99,0.00,83.59,86.88,115.09,1674.40,1405.09,1045.49,3.68,12.18,0.00,0.00,0.00,0.89,10.88,6.58,5.75,67.38,10.21,8.28,81.94,28.97,14.92,356.86,329.38,325.40,34230.75,31151.54,28440.96
14,North Eastern Karnataka RTC,141808.32,131572.25,123508.49,10698.25,9977.35,8962.10,152506.57,141549.60,132470.59,141.64,135.07,103.99,194.63,459.88,533.98,0.00,0.00,0.00,6939.20,5848.75,5342.07,7275.47,6443.70,5980.04,19287.57,15551.07,13491.64,0.00,0.00,0.00,19287.57,15551.07,13491.64,179069.61,163544.37,151942.27,87186.49,80904.95,75186.87,66433.53,57241.55,54871.86,3096.22,3374.28,3853.51,2440.16,2685.98,3347.96,892.35,485.23,691.20,11033.31,7691.10,5902.03,0.00,0.00,0.00,1586.33,1602.22,1567.93,5426.87,5477.79,5022.94,7735.96,7311.49,6878.75,0.00,0.00,0.00,0.00,0.00,0.00,61.75,100.36,65.20,7797.71,7411.85,6943.95,0.00,0.00,0.00,185892.97,166874.95,157388.25
15,North Western Karnataka RTC,162485.53,155121.89,147061.81,4012.61,3837.08,2465.47,166498.14,158958.97,149527.28,161.70,243.20,180.39,223.78,221.49,227.60,NA,NA,NA,7152.60,5962.61,6981.09,7538.08,6427.30,7389.08,28724.11,23058.62,17121.22,0.00,0.00,0.00,28724.11,23058.62,17121.22,202760.33,188444.89,174037.58,97656.47,92897.16,84320.34,77678.19,68530.27,65511.71,3288.70,3176.51,3334.90,3176.65,3315.17,3427.64,1027.60,1130.79,1757.56,9153.35,8497.23,8918.48,0.00,0.00,0.00,1392.73,1023.89,1936.05,1647.68,1380.35,1580.09,7998.16,7603.85,7282.66,55.44,45.23,38.88,641.14,481.29,0.00,23.77,31.31,21.23,8718.51,8161.68,7342.77,7927.10,7529.37,7863.99,211666.98,195642.42,185993.53
16,Odisha SRTC,9130.52,8268.91,7888.34,708.53,537.63,447.92,9839.05,8806.54,8336.26,16.02,9.84,25.11,28.28,11.33,8.75,4.60,2.19,2.30,1809.41,1592.36,1566.72,1858.31,1615.72,1602.88,NA,NA,NA,34.00,160.00,0.00,34.00,160.00,0.00,11731.36,10582.26,9939.14,3036.23,2732.20,2695.54,5814.51,4976.37,4526.73,282.39,301.18,390.76,274.28,280.92,285.98,0.00,110.93,110.93,890.24,721.10,659.20,NA,NA,NA,NA,NA,NA,176.22,0.00,0.00,584.11,466.72,413.80,0.00,0.00,0.00,0.00,0.00,0.00,194.76,211.88,164.41,778.87,678.60,578.21,281.94,512.05,437.97,11534.68,10313.35,9685.32
17,Pepsu RTC,49473.50,41680.04,36893.08,NA,NA,1611.77,49473.50,41680.04,38504.85,84.14,91.06,0.00,111.86,152.13,14.75,NA,NA,NA,1843.37,1854.25,NA,2039.37,2097.44,14.75,14869.00,10174.00,7280.61,5562.00,5400.00,4700.00,20431.00,15574.00,11980.61,71943.87,59351.48,50500.21,20493.79,20401.87,21334.84,20621.48,16574.97,14049.48,417.44,427.78,585.05,516.10,963.83,479.42,NA,NA,NA,1340.00,1416.44,1120.00,3935.14,3242.79,3823.66,723.75,909.86,374.45,NA,NA,2374.08,2712.25,2626.03,2363.93,NA,253.95,1709.49,416.99,269.50,0.00,3129.24,3149.48,4073.42,6258.48,6298.96,8146.84,8002.86,5499.32,NA,62309.04,55735.82,52287.82
18,Rajasthan SRTC,141784.30,153057.42,139079.35,9690.09,10473.74,9937.43,151474.39,163531.16,149016.78,456.38,438.68,301.63,290.89,1297.87,613.88,1237.24,932.36,644.52,3402.04,3673.87,3315.98,5386.55,6342.78,4876.01,21000.00,20999.00,18432.00,38381.00,28463.00,5000.00,59381.00,49462.00,23432.00,216241.94,219335.94,177324.79,92535.06,99825.15,266380.99,50260.45,52028.00,55507.65,2462.93,2219.34,2073.25,2972.52,2524.51,3319.08,7685.43,8089.81,8725.14,5513.34,6308.92,6302.31,33580.78,28763.70,11692.25,3767.33,NA,NA,NA,NA,NA,637.05,541.02,584.56,2828.51,3743.56,2122.51,102.33,321.04,27.42,11388.58,21747.95,19009.92,14956.47,26353.57,21744.41,10100.19,4729.16,13336.44,223834.50,230842.16,389081.52
19,South Bengal STC,17130.24,13836.48,11852.45,31.70,NA,NA,17161.94,13836.48,11852.45,0.00,0.00,13.65,7.86,42.47,48.62,NA,NA,0.09,298.47,375.28,242.47,306.33,417.75,304.83,0.00,0.00,0.00,7475.80,7078.19,6616.00,7475.80,7078.19,6616.00,24944.07,21332.42,18773.28,10337.72,9258.99,8488.21,10897.93,7531.41,6579.31,398.43,487.70,509.36,996.45,895.20,643.30,4255.40,3728.71,3202.54,1553.65,1243.10,1065.89,0.00,0.00,0.00,32.22,15.00,53.29,1085.94,500.07,413.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1238.70,943.14,827.54,1238.70,943.14,827.54,3639.78,2767.86,2125.49,34436.22,27371.18,23908.16
20,Telangana SRTC,397166.27,379284.66,348119.76,845.43,1202.66,1588.34,398011.70,380487.32,349708.10,2792.73,2546.28,2097.16,2557.77,1296.21,2004.06,0.00,0.00,0.00,24098.30,23252.06,20391.20,29448.80,27094.55,24492.42,64451.30,56058.91,55370.67,0.00,0.00,0.00,64451.30,56058.91,55370.67,491911.80,463640.78,429571.19,233407.62,220313.98,217434.64,138370.67,119137.56,107001.81,5979.56,4899.58,5683.39,13687.16,13921.46,13788.54,18569.88,16865.08,13684.75,17080.57,15109.27,11151.35,62319.08,57480.48,53906.42,4342.64,4856.78,3805.53,58086.21,55138.28,50921.56,23906.68,22863.38,20765.73,0.00,0.00,0.00,0.00,0.00,0.00,9028.20,7939.66,6355.27,32934.88,30803.04,27121.00,0.00,0.00,0.00,584778.27,538525.51,504498.99
