S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2016-17,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2018-19,Average Age of Fleet (Years) - 2016-17,Average Age of Fleet (Years) - 2017-18,Average Age of Fleet (Years) - 2018-19,Staff Strength (Number) - 2016-17,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2018-19,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2016-17,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2017-18,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2018-19,Passenger Kms Performed (Lakhs) - 2016-17,Passenger Kms Performed (Lakhs) - 2017-18,Passenger Kms Performed (Lakhs) - 2018-19,Passenger Carried (Lakhs) - 2016-17,Passenger Carried (Lakhs) - 2017-18,Passenger Carried (Lakhs) - 2018-19
33,TN STC (Villupuram) Ltd.,3596,3502,3437,7.00,7.77,6.96,24094,23361,22412,5.61,5.61,5.60,299523.00,290099.00,251291.00,7819,8858.07,7061.16
34,TN STC ( Tirunelvell) Ltd.,1897,1839,1775,6.35,6.95,7.09,11839,11620,11085,5.15,5.16,5.19,140364.42,138569.95,112541.10,6673,6352.40,5578.28
NA,TOTAL Companies,24205,23565,23406,6.55,7.19,6.88,143819,140678,134660,5.10,5.10,5.09,1543728.31,1533614.43,1340304.97,64967,63271.28,54021.91
37,Andaman & Nicobar ST,268,284,284,7.48,8.65,9.14,1151,1162,1166,3.65,3.57,3.65,174.22,192.63,214.89,108,111.62,121.12
38,Arunachal Pradesh ST,192,219,237,9.32,10.03,12.14,796,790,791,NA,NA,NA,80.26,90.09,93.13,0,0.00,0.00
39,Chandigarh TU,565,550,534,5.85,5.08,4.74,1779,1917,1965,3.76,3.74,3.86,14104.96,13414.40,12149.00,569,568.10,554.80
40,Haryana ST,4145,4063,3951,4.37,4.75,5.11,16968,16004,19663,4.75,4.74,4.73,158216.00,145915.00,142586.00,4459,3993.74,4286.16
41,Mizoram ST,49,42,37,8.00,7.00,8.00,333,287,262,3.20,3.20,3.20,127.89,115.36,153.43,1,0.52,0.66
42,Nagaland ST,216,249,250,7.78,7.78,7.78,1050,1050,1050,3.30,3.19,3.22,32.45,24.67,25.75,6,4.70,5.72
43,State Transport Punjab,605,602,476,7.00,7.00,7.00,0,2943,2713,NA,4.52,4.54,0.00,350.40,248.20,0,602.25,547.50
44,Sikkim NT ,122,122,120,6.38,7.81,6.95,680,798,1313,4.12,3.72,3.80,549.78,583.00,588.28,11,11.31,12.22
NA,Total Govt Deptts.,6162,6131,5889,7.02,7.26,7.61,22757,24951,28923,3.80,3.81,3.86,173285.56,160685.55,156058.68,5154,5292.24,5528.18
43,Ahemdabad Janmarg Ltd,250,254,253,4.50,5.50,6.50,0,0,0,2.50,2.30,2.10,169.15,158.24,161.07,451,459.16,519.75
44,Ahmedabad MTC ,910,866,754,5.30,3.35,3.98,5365,5327,5102,3.22,NA,NA,16282.48,14058.77,15083.09,2094,1806.97,1954.36
45,BEST Undertaking,3844,3661,3322,9.51,9.79,10.46,32590,30971,29045,2.67,2.67,2.67,70275.00,63816.00,53000.00,10343,9563.00,8068.00
46,Kolhapur MTU,129,129,129,7.60,6.55,7.11,944,881,815,3.98,3.80,3.77,2953.78,3120.47,2796.07,222,231.80,190.03
47,Navi Mumbai MT,336,386,391,NA,NA,NA,1166,1138,1116,3.10,3.00,2.95,203.86,219.67,222.30,485,515.33,518.41
48,Pune Mahamandal ,2045,1961,2058,9.02,8.07,8.08,9656,9311,9587,3.14,3.10,3.31,41496.51,45186.54,43041.50,3939,3975.61,3725.08
49,Sholapur MT,90,75,50,NA,NA,NA,469,433,315,NA,NA,NA,50.49,31.69,23.80,111,80.74,46.07
50,Thane MT,393,482,473,7.00,6.00,5.00,2995,2977,2898,2.15,2.05,2.07,0.00,0.00,0.00,470,641.20,644.85
51,Kalyan Dombivali MT,169,216,216,3.27,3.95,4.95,560,498,558,3.34,3.28,3.26,1864.16,1703.11,1452.60,147,145.64,128.07
NA,Total Muncipal undertakings,8166,8030,7646,6.60,6.17,6.58,53745,51536,49436,3.01,2.89,2.88,133295.43,128294.49,115780.43,18262,17419.45,15794.62
52,DELHI INTEGRATED MTS,1552,1648,1679,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,49152.98,59179.47,65882.26,3743,4250.79,4469.31
NA,Total Associate members,1552,1648,1679,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,49152.98,59179.47,65882.26,3743,4250.79,4469.31
53,Agra - Mathura City TSL,230,230,230,8.00,9.00,10.00,540,567,586,5.64,5.72,5.59,99.91,103.72,106.79,90,93.95,81.77
54,Jaipur City TS Ltd.,408,508,405,5.11,5.62,6.04,1119,1119,1195,2.97,2.82,2.96,193.90,161.77,214.89,2,1.49,1.71
55,MEERUT CITY TSL,126,126,126,7.00,8.00,9.00,453,454,445,4.50,4.40,4.40,75.00,73.00,72.00,103,102.00,96.00
56,KANPUR CITY TSL,270,270,270,7.00,8.00,9.00,241,258,305,NA,NA,NA,69.08,73.87,77.44,85,70.14,59.27
NA,Total Special Purpose Vehicle,1034,1134,1031,6.78,7.66,8.51,2353,2398,2531,4.37,4.31,4.32,437.89,412.36,471.12,280,267.58,238.75
NA,Total (Reporting SRTUs),149713,151880,152357,6.62,6.64,6.98,740156,725358,709232,4.21,4.19,4.19,5984787.73,6160952.31,5993474.67,254060,254221.45,241941.76
